;error_rate;overlap;neighborhood;;;;;;
autos;0.8277;0.8560;0.8304;;;;;;
balance;0.7970;0.8019;0.8009;;;;;;
contraceptive;0.5115;0.5100;0.5065;;;;;;
dermatology;0.9524;0.9578;0.9576;;;;;;
ecoli;0.8781;0.8713;0.8843;;;;;;
glass;0.6802;0.6873;0.7426;;;;;;
hayes-roth;0.8241;0.8472;0.8159;;;;;;
lymphography;0.8167;0.8087;0.7885;;;;;;
new-thyroid;0.9223;0.9410;0.9443;;;;;;
pageblocks;0.9324;0.9353;0.9432;;;;;;
penbased;0.8998;0.9068;0.9113;;;;;;
shuttle;0.9976;0.9971;0.9972;;;;;;
thyroid;0.9861;0.9842;0.9820;;;;;;
wine;0.9372;0.9489;0.9488;;;;;;
yeast;0.5372;0.5574;0.5552;;;;;;
mean;0.8334;0.8407;0.8406;;;;;;
;;;;;;;;;
;;;;;;;;;
